Date,Total cases,Daily New Cases,Total Deaths,Daily New Deaths
Feb-15,3,3,0,0
Feb-16,3,0,0,0
Feb-17,3,0,0,0
Feb-18,3,0,0,0
Feb-19,3,0,0,0
Feb-20,3,0,0,0
Feb-21,3,0,0,0
Feb-22,3,0,0,0
Feb-23,3,0,0,0
Feb-24,3,0,0,0
Feb-25,3,0,0,0
Feb-26,3,0,0,0
Feb-27,3,0,0,0
Feb-28,3,0,0,0
Feb-29,3,0,0,0
Mar-01,3,0,0,0
Mar-02,6,3,0,0
Mar-03,7,1,0,0
Mar-04,29,22,0,0
Mar-05,30,1,0,0
Mar-06,31,1,0,0
Mar-07,34,3,0,0
Mar-08,40,6,0,0
Mar-09,47,7,0,0
Mar-10,62,15,0,0
Mar-11,62,0,0,0
Mar-12,74,12,1,1
Mar-13,82,8,2,1
Mar-14,100,18,2,0
Mar-15,114,14,2,0
Mar-16,129,15,2,0
Mar-17,143,14,3,1
Mar-18,169,26,3,0
Mar-19,194,25,4,1
Mar-20,249,55,5,1
Mar-21,332,83,5,0
Mar-22,396,64,7,2
Mar-23,499,103,10,3
Mar-24,536,37,10,0
Mar-25,657,121,12,2
Mar-26,727,70,20,8
Mar-27,887,160,20,0
Mar-28,987,100,24,4
Mar-29,1024,37,27,3
Mar-30,1251,227,32,5
Mar-31,1397,146,35,3
Apr-01,1998,601,58,23
Apr-02,2543,545,72,14
Apr-03,3059,516,86,14
Apr-04,3588,529,99,13
Apr-05,4289,701,118,19
Apr-06,4778,489,136,18
Apr-07,5351,573,160,24
Apr-08,5916,565,178,18
Apr-09,6725,809,227,49
Apr-10,7600,875,249,22
Apr-11,8446,846,288,39
Apr-12,9205,759,331,43
Apr-13,10453,1248,358,27
Apr-14,11487,1034,393,35
Apr-15,12370,883,422,29
Apr-16,13430,1060,448,26
Apr-17,14352,922,486,38
Apr-18,16365,2013,521,35
Apr-19,17615,1250,559,38
Apr-20,18539,924,592,33
Apr-21,20080,1541,645,53
Apr-22,21370,1290,681,36
Apr-23,23039,1669,721,40
Apr-24,24447,1408,780,59
Apr-25,26283,1836,825,45
Apr-26,27890,1607,881,56
Apr-27,29451,1561,939,58
Apr-28,31324,1873,1008,69
Apr-29,33062,1738,1079,71
Apr-30,34863,1801,1154,75
May-01,37257,2394,1223,69
May-02,39699,2442,1323,100
May-03,42505,2806,1391,68
May-04,46437,3932,1566,175
May-05,49400,2963,1693,127
May-06,52987,3587,1785,92
May-07,56351,3364,1889,104
May-08,59695,3344,1985,96
May-09,62808,3113,2101,116
May-10,67161,4353,2212,111
May-11,70768,3607,2294,82
May-12,74292,3524,2415,121
May-13,78055,3763,2551,136
May-14,81997,3942,2649,98
May-15,85784,3787,2753,104
May-16,90648,4864,2871,118
May-17,95698,5050,3025,154
May-18,100328,4630,3156,131
May-19,106475,6147,3302,146
May-20,112028,5553,3434,132
May-21,118226,6198,3584,150
May-22,124794,6568,3726,142
May-23,131423,6629,3868,142
May-24,138536,7113,4024,156
May-25,144950,6414,4172,148
May-26,150793,5843,4344,172
May-27,158086,7293,4534,190
May-28,165386,7300,4711,177
May-29,173491,8105,4980,269
May-30,181827,8336,5185,205
